genre,rank,img,name,publisher,device,rating

Puzzle,41,https://play-lh.googleusercontent.com/xToRFw-mqA18HtizgutV0K1IouakfR8iJ3PW75u-1n1oxbP7hVfBMlgHWIwuUYKKS_s=s480-rw,Pou,Zakeh,Android,4.3
Action,42,https://play-lh.googleusercontent.com/bCwY535ljeQN_CUFTXbEwxXyU0Sr3-g-2Wx3OFGuooMWt9fNuzHNkMNR_q2FCddVzw=s480-rw,DEAD TRIGGER 2 - Zombie Game FPS shooter,MADFINGER Games, iOS,4.6
Racing,43,https://play-lh.googleusercontent.com/590AflDt-hW2t85Cit_ODJPJdRiMMRn2cSF0vYNfsBpjm895x1zDy0npbD7IlDCvmNvI=s480-rw,Traffic Rider,Soner Kara, iOS,4.5
Action,44,https://play-lh.googleusercontent.com/00V2zEGGgwdtx2Wegw-ZCL0t0n4nOGXDVq-weJxslZ-j_qFWrBeHgUzDqL9TAC3M3Ic=s480-rw,Shadow Fight 3,Nekki,Android,4.2
Role Playing, 45, https://play-lh.googleusercontent.com/5JHMbJY5vX49S9laDwXLkfMdo8p6MCp4a9OzoO0r_e0kIn2V6biAPI_x2N09L3Bkqq_U=s480-rw,Pokémon Masters EX, DeNA Co., Ltd., Android, 4.4
Strategy, 46, https://play-lh.googleusercontent.com/y_Dr51TrM3NfJO-bFECbGVXsjfFYo-6YjiJfIQwyNBX6VdBW8H8eSEZzpCXcGKKByyw=s480-rw,Boom Beach, Supercell, iOS,  4.5
Sports, 47, https://play-lh.googleusercontent.com/yizr2Foxp6ccOZZ3zpO-ZI9ps75spTvsguD9IK2rbCAU0sPoE5jmBbsjEw2uyWQYpV4=w240-h480-rw,My NBA 2K22, 2K, iOS, 4.3
Puzzle, 48, https://play-lh.googleusercontent.com/x9oRbQI97H4tgr83GigLTcLHARlZBkQ4R9z3AHva-P8GeOGoqu4gCKk4MNDzEoRq_RU=s480-rw,Toon Blast, Peak, iOS,  4.7
Adventure, 49, https://play-lh.googleusercontent.com/VSwHQjcAttxsLE47RuS4PqpC4LT7lCoSjE7Hx5AW_yCxtDvcnsHHvm5CTuL5BPN-uRTP=s480-rw,Minecraft, Mojang, iOS,  4.5
Racing, 50,https://play-lh.googleusercontent.com/dXZ_E5k5Ttgir79Lekffu_iJrM1gj8f_lOFjeG-7L2xBeV6Mh0nEoMz5eKzsdnkv-sE=s480-rw, Asphalt 9: Legends, Gameloft SE, iOS,  4.6
Role Playing, 51, https://play-lh.googleusercontent.com/ZKVBnyuVxKUneBJ1-sd8rSQG-5GrKmzx06t5PRlIH3Cl7Bg3aFfkLE_M355U-hfl0kk=s480-rw,RAID: Shadow Legends, Plarium Global Ltd, iOS, 4.6
Strategy, 52, https://play-lh.googleusercontent.com/rIvZQ_H3hfmexC8vurmLczLtMNBFtxCEdmb2NwkSPz2ZuJJ5nRPD0HbSJ7YTyFGdADQ=s480-rw,Clash Royale, Supercell, iOS, 4.6
Puzzle, 53, https://play-lh.googleusercontent.com/vwLlcWIi7sEnr5-p17rCTf6nknlQZeaWNiK8pI7awvmpO86l6_K5EtrqBRm69Gv3xw=s480-rw,Two Dots, Playdots, Inc., iOS,  4.6
Strategy, 54, https://play-lh.googleusercontent.com/AhhhI8JGijtKuO8xOP_qUzOvIk7R7xBIKALKW_P7DV7jzWtvo2LrfC0081XMc85NGeBK=s480-rw,Plague Inc., Ndemic Creations, iOS, 4.4
Role Playing, 55,https://play-lh.googleusercontent.com/b0M65rGov6tNp_S9YEAk_EwjUsOjCpFv2Y24nar7YCtmPxFHcKhZaApdAqrY-RlkKg=s480-rw, Final Fantasy Brave Exvius, SQUARE ENIX, iOS,4.4
Adventure, 56,https://play-lh.googleusercontent.com/l4PdRz_ZURsgohnf9z-4uN2eLgnDTAZXPfcQVo7gNoqR4rYqI0Ed2BQVH51sa_KDNUU=s480-rw, Alto's Odyssey, Snowman, iOS, 4.7
Role Playing, 57, https://play-lh.googleusercontent.com/AB3OGNTRGWogsy2_d1fKkt-38__z2lJgdnmZ2R9l9MWuXBeKCmTXbfe2hupBqFemfmw0=s480-rw,Legend of Heroes : Eternal Arena, MoYe HongKong Studios, iOS, 3.9
Action, 58, https://play-lh.googleusercontent.com/HpOlK6ARTzYam_V0b5TxQ-hr9IOb5VSskopbhZ2283D4HVizPsDZqGblAccKNwjWv-Fl=s480-rw,Shadowgun Legends, MADFINGER Games, iOS,  4.6
Puzzle, 59,https://play-lh.googleusercontent.com/5nc0gBE_3fxx0nPKjTjF3O-l53tDiNaDGJjCGHqwXvb1Imsno1MDhcpYZYNEgC3vqs0=s480-rw, The Room, Fireproof Games, iOS, 4.8
Sports,60 , https://play-lh.googleusercontent.com/MUc561H_AeA4lUfUzyo0-6ZgikC6xrblMMPcbOTNC61iXb9hbfV9guj5IKiXAMfpumJw=s480-rw,FIFA Mobile Soccer, Electronic Arts, iOS,4.6
