genre,rank,img,name,publisher,device,rating

Arcade,1,https://play-lh.googleusercontent.com/8ddL1kuoNUB5vUvgDVjYY3_6HwQcrg1K2fd_R8soD-e2QYj8fT9cfhfh3G0hnSruLKec=s480-rw,Among Us!,InnerSloth LLC,Android,4.5
Action,2,https://play-lh.googleusercontent.com/JSGYuR7AN8xOzHPX8NkqvhRlkzMb-Vxe36PDwJ0-FLFxCmK51fRcuB82eIis2q_wUQ=s480-rw,Call of Duty: Mobile,Activision Publishing Inc.,iOS,4.5
Casual,3,https://play-lh.googleusercontent.com/x2J14UGc9pQnjXzCocCYJWzHSHkUwvfmilC4aUHNi4Vb5yPpspQKU3WZyUHNOlUAZTw=s480-rw,Subway Surfers,Kiloo,iOS,4.5
Strategy,4,https://play-lh.googleusercontent.com/9zACfwWC3nLgQls-vt4lpz8N0Vv4zWMUXtcFth3oBT5789vmsTktH_fCNXHsGdmtOw4=s480-rw,Garena Free Fire,BOOYAH!,iOS,4.3
Casual,5,https://play-lh.googleusercontent.com/bBcTnHOQz3yim_TVw-M21BDvUECT1fZWJHryApg5QXpBS6gw0YE6vjqkXw6wJdA7DIE=s480-rw,Gardenscapes,Playrix, iOS,4.4
Simulation,6,https://play-lh.googleusercontent.com/PDoj6mrfelRlAC-PczVW9_MiaDyOHNLY4AS4MW_gNY3B01_ynG0PrkHhPN2q3Bthg9k=s480-rw,Plants vs. Zombies FREE,Electronic Arts,iOS,4.4
Puzzle,7,https://play-lh.googleusercontent.com/gU9NKwpgLDYA6LIYK4dnkAkVyqNHUfTIqklEiNuO4oZ2OCpWQhQdqhnDh8Yb9B8SWIM=s480-rw,Candy Crush Saga,King,iOS,4.6
Role Playing,8,https://play-lh.googleusercontent.com/ZKVBnyuVxKUneBJ1-sd8rSQG-5GrKmzx06t5PRlIH3Cl7Bg3aFfkLE_M355U-hfl0kk=s480-rw,RAID: Shadow Legends,Plarium Global Ltd, iOS,4.6
Action,9,https://play-lh.googleusercontent.com/VhwlwQOnf_lUrhCUoTcKP8O1dMecYxOhpa1FimQryAIL723NjAhzz0GeH7RB70GKgQ=s480-rw,Shadow Fight 2,NEKKI, iOS,4.6
Adventure,10,https://play-lh.googleusercontent.com/WNWZaxi9RdJKe2GQM3vqXIAkk69mnIl4Cc8EyZcir2SKlVOxeUv9tZGfNTmNaLC717Ht=s480-rw,Roblox,Roblox Corporation,iOS,4.4
Arcade,11,https://play-lh.googleusercontent.com/UnBJS2kf5Dw6HyZXF9TvcRBTwIkcaT59mXX26juBUCwlqHZ8bKhZRtuRZ2q4YrT7iaE=w240-h480-rw,Jetpack Joyride,Halfbrick Studios,iOS,4.4
Casual,12,https://play-lh.googleusercontent.com/_qGRXGGZa7k5W7Az2k1aF3zS5MHeY8lNhu1wfOxvpVqpFcW_dVTLeO7IOl3WlJahyCig=w240-h480-rw,Talking Tom Cat,Outfit7 Limited,iOS,4.4
Action,13,https://play-lh.googleusercontent.com/go4XqS4mYs-G2tZymiVLF4wJYXIi5QrvwixNRzssk4G_vRBHrAdg4E1ddNwy9c2cZA=s480-rw,Temple Run 2,Imangi Studios,Android,4.3
Role Playing,14,https://play-lh.googleusercontent.com/vRd2gg6XmC3TRTM5wZZ8qwEc5LMUROh4whycLuiCSPB40tIxDYLT6V0BdCn486XiKQ0=s480-rw,Genshin Impact,miHoYo Limited, iOS,4.6
Arcade,15,https://play-lh.googleusercontent.com/N0UxhBVUmx8s7y3F7Kqre2AcpXyPDKAp8nHjiPPoOONc_sfugHCYMjBpbUKCMlK_XUs=w240-h480-rw,Hill Climb Racing,Fingersoft,iOS,4.4
Action,16,https://play-lh.googleusercontent.com/UELcKakJhwKhdDJIwpdvd1RjE3ClRXiG0nhChs69fBv-nn5ZkgSp2EkkRTnJYFtYoZyu=s480-rw,Mobile Legends: Bang Bang,Moonton,iOS,4.3
Simulation,17,https://play-lh.googleusercontent.com/TFPeHxtr4LUNcMxbt5GE27IL__yucGJ7Z-w2eS-wVAkZLeLgHbVoPFI7C0VJxcEffg=s480-rw,The Sims FreePlay,Electronic Arts,Android,4.2
Casual,18,https://play-lh.googleusercontent.com/GmTrRvFLOg9415aIWoxXQMpsgucGvmu7RT_GaXn4bX_OdMjO5W41de1I33ZGOB2HGw=w240-h480-rw,My Talking Tom,Outfit7 Limited, iOS,4.5
Role Playing,19,https://play-lh.googleusercontent.com/MDaSgXlbRkftfjNIdJ2oHodVBVLOmVg2PevfdzJkbtlawfMA-8gMAs-kCfXXY5XyLw=s480-rw,Pokémon GO, Niantic Inc.,Android, 4.1
Casual,20,https://play-lh.googleusercontent.com/eJ9OJnbRer1jjg5ZeNAnTXKcGd2B_NEqxCp2UsefcCABeFBaj_pNl_WKYBjup2GVGGc=s480-rw,Fruit Ninja®,Halfbrick Studios, iOS,4.3
